id,label,kind,type,count,per_stage,when,line,control,min,max,step,page,group,validate
nozzle_exit_area,Nozzle Exit Area,scalar,float,,stage,engine_type==2,same,number,0,9000000,0.0001,10,Rocket Engine (Thrust History),
tth_ref_atm_pressure,Reference Atmospheric Pressure,scalar,float,,stage,engine_type==2,same,number,0,9000000,0.0001,10,Rocket Engine (Thrust History),
tth_negative_thrust,Negative Thrust,scalar,choice,,stage,engine_type==2,same,"radio:Positive Thrust=0,Negative Thrust=1",,,,10,Rocket Engine (Thrust History),
n_history,Number of Time History Points,scalar,int,,,any(engine_type>0),,number,2,40,1,11,Engine Time History,present only if a stage is powered (engine_type 1 or 2); label matches engine model
history_time,Time,vector,float,n_history,,any(engine_type>0),,number,0,9000000,0.0001,11,Engine Time History,first time must be 0; no negatives
history_value,Chamber Pressure / Thrust,vector,float,n_history,,any(engine_type>0),,number,0,9000000,0.0001,11,Engine Time History,units Chamber Pressure (type 1) or Thrust (type 2); no negatives
n_traj,Number of Trajectory Time History Points,scalar,int,,,,,number,2,40,1,12,Trajectory Control,
traj_control,Trajectory Control,scalar,choice,,,,same,"radio:Pitch Attitude and Bank=0,Angle of Attack and Bank=1",,,,12,Trajectory Control,
traj_time,Time,vector,float,n_traj,,,,number,0,9000000,0.0001,12,Trajectory Control,first time must be 0; no negatives
traj_angle,Angle of Attack / Pitch Attitude,vector,float,n_traj,,,,number,-90,90,0.0001,12,Trajectory Control,label Angle of Attack (control 1) or Pitch Attitude (control 0)
traj_bank,Bank (Roll) Angle,vector,float,n_traj,,,,number,-90,90,0.0001,12,Trajectory Control,
